gene,CTLrep1,CTLrep2,CTLrep3,KOrep1,KOrep2,KOrep3
ENSMUSG00000048000.16,1952,1565,2164,1949,2054,1740
ENSMUSG00000079436.4,20,17,26,72,57,30
ENSMUSG00000091123.2,2,1,2,3,5,2
ENSMUSG00000090994.2,69,61,79,46,49,49
ENSMUSG00000026288.15,214,170,268,299,294,275
ENSMUSG00000026289.16,218,179,224,203,246,209
ENSMUSG00000070738.11,164,150,194,135,136,154
ENSMUSG00000005501.15,82,71,107,104,105,73
ENSMUSG00000084021.2,18,12,20,13,15,22
ENSMUSG00000049866.13,1438,1236,1722,1307,1358,1764
ENSMUSG00000099544.2,22,22,21,10,23,24
ENSMUSG00000036206.13,138,167,167,157,184,169
ENSMUSG00000102083.2,56,41,62,45,47,62
ENSMUSG00000055013.17,288,251,314,268,274,268
ENSMUSG00000034486.9,2,5,6,3,3,1
ENSMUSG00000044337.6,37,22,32,34,49,47
ENSMUSG00000034432.12,323,302,362,345,377,403
ENSMUSG00000026305.16,53,44,49,29,47,37
ENSMUSG00000100018.2,21,37,38,39,16,21
ENSMUSG00000034343.15,1039,1005,1389,1186,1191,1230
ENSMUSG00000083064.2,94,89,139,89,118,111
ENSMUSG00000026309.15,197,184,245,173,198,203
ENSMUSG00000067071.9,14,14,17,13,16,33
ENSMUSG00000055866.10,2,5,1,10,5,2
ENSMUSG00000034292.14,43,17,36,29,33,29
ENSMUSG00000026311.17,9,8,9,6,8,3
ENSMUSG00000026313.17,24,29,32,41,38,36
ENSMUSG00000073616.11,8,7,13,9,11,18
ENSMUSG00000034220.8,549,476,652,585,579,745
ENSMUSG00000026269.15,891,766,1111,832,746,1027
ENSMUSG00000014602.16,1349,1171,1571,1193,1342,1151
ENSMUSG00000026273.14,5,4,5,3,11,5
ENSMUSG00000100351.2,123,166,203,208,165,179
ENSMUSG00000026275.14,122,143,164,150,134,194
ENSMUSG00000034088.16,9252,8031,10737,9482,9398,9027
ENSMUSG00000034066.14,44,34,41,32,33,28
ENSMUSG00000026277.15,557,478,724,577,504,672
ENSMUSG00000026278.15,1,2,4,4,3,3
ENSMUSG00000026279.15,110,113,157,120,118,162
