"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000003200.11",651.53004157413,0.0474547669070901,0.129863154676019,0.36542133159694,0.714796920299352,0.999904447272451
"ENSMUSG00000002833.12",50.7995917923858,-0.399396991569269,0.275154138490102,-1.45153910372181,0.146629801743567,0.931241600845042
"ENSMUSG00000001227.13",9.27459526615702,0.0548823548242486,0.619289918014536,0.0886214246797417,0.929382780645279,0.999904447272451
"ENSMUSG00000001229.10",6.65458703229023,0.351296841679354,0.712971538189665,0.492722111420249,0.622208951889941,NA
"ENSMUSG00000117176.2",3087.30430867112,-0.340557756830205,0.137609979070027,-2.47480421937206,0.0133309231258065,0.351277273553277
"ENSMUSG00000043683.5",8.17619221859275,0.462194285539094,0.639579614535019,0.722653247594694,0.469892945621607,0.999904447272451
"ENSMUSG00000024201.13",7.84052395228572,-0.87648649933822,0.678512872805461,-1.29177578564456,0.196434803325257,0.985245577208802
"ENSMUSG00000013236.18",409.781039029706,0.0358698565769959,0.131910384545993,0.271925949578967,0.785678957913641,0.999904447272451
"ENSMUSG00000042625.17",52.4891181802385,0.0298383782651698,0.2630266903809,0.113442397126921,0.909679828588952,0.999904447272451
"ENSMUSG00000071054.13",171.308546303938,0.00556051291072807,0.163004426868529,0.0341126496841272,0.972787321367254,0.999904447272451
"ENSMUSG00000041168.11",66.6328562865441,0.0381580505045467,0.236745910264855,0.161177232003113,0.871953812881697,0.999904447272451
"ENSMUSG00000024206.16",17.8466051271363,0.910771045232147,0.469844432584758,1.93845235160437,0.0525680586795522,0.7079217070352
"ENSMUSG00000024212.10",146.435791184509,-0.0838533292143553,0.173266181205622,-0.483956699633398,0.628416599516221,0.999904447272451
"ENSMUSG00000002660.9",9.66186759027865,-0.0223110575822283,0.597435017400863,-0.0373447436665035,0.970210130069364,0.999904447272451
"ENSMUSG00000002658.10",78.9815590709245,-0.133785995217752,0.239331198607417,-0.558999394964822,0.576162133103315,0.999904447272451
"ENSMUSG00000007670.11",688.011668024503,0.0594614105494685,0.121302413635467,0.49019148727048,0.623998404062185,0.999904447272451
"ENSMUSG00000046329.15",16.4922500706275,0.256923253847795,0.469506734367214,0.547219528584755,0.584227921250462,0.999904447272451
"ENSMUSG00000062591.6",294.48394815525,-0.149222579069383,0.166827520334236,-0.894472199613216,0.371069297689819,0.999904447272451
"ENSMUSG00000005823.10",78.8373526692157,-0.372889376763287,0.223575852860748,-1.66784280141173,0.0953469367545423,0.83472688788522
"ENSMUSG00000019487.12",8.77956035645416,-0.345913019358707,0.626927907929175,-0.551758846565473,0.581113586268053,0.999904447272451
"ENSMUSG00000117082.2",4.53587914636319,-1.2895585760132,0.909944852440719,-1.41718322000971,0.156429366429623,NA
"ENSMUSG00000117281.2",5.06687639806365,-0.448129306917115,0.829242569444102,-0.54040798607038,0.588915701547884,NA
"ENSMUSG00000046952.10",69.5668796559634,0.139774472969178,0.241930402684763,0.577746622243691,0.563435197532584,0.999904447272451
"ENSMUSG00000024228.13",70.8303876536038,-0.161791917370679,0.237231000575109,-0.68200158064694,0.495237951381684,0.999904447272451
"ENSMUSG00000098156.2",66.6858029738879,0.159243709982414,0.244986736352085,0.650009516243994,0.515686074663185,0.999904447272451
"ENSMUSG00000048915.13",655.684666076164,-0.259487424128663,0.119094765514871,-2.17883147934207,0.0293441895021978,0.542329785040619
"ENSMUSG00000023965.14",421.918896305267,0.0165770690101203,0.138824264242637,0.119410458254956,0.904950176090016,0.999904447272451
