gene,CTLrep1,CTLrep2,CTLrep3,KOrep1,KOrep2,KOrep3
ENSMUSG00000102093.2,0,0,0,0,0,0
ENSMUSG00000103746.3,0,0,0,0,0,0
ENSMUSG00000102198.2,0,0,0,0,0,0
ENSMUSG00000121274.1,0,0,0,0,0,0
ENSMUSG00000004768.15,8,9,6,7,9,5
ENSMUSG00000042215.9,14,12,25,26,21,25
ENSMUSG00000103072.2,0,0,0,0,0,0
ENSMUSG00000042197.14,287,229,344,308,359,241
ENSMUSG00000081402.5,21,20,24,24,21,37
ENSMUSG00000042182.17,1,0,0,1,4,0
ENSMUSG00000104416.2,0,0,0,0,0,0
ENSMUSG00000026131.22,435,326,469,628,655,375
ENSMUSG00000103596.2,0,0,0,0,0,0
ENSMUSG00000099382.2,0,0,0,0,0,0
ENSMUSG00000084506.3,0,0,0,0,0,0
ENSMUSG00000103364.2,0,0,0,0,0,0
ENSMUSG00000105982.3,0,0,0,0,0,0
ENSMUSG00000096992.4,0,0,0,0,0,0
ENSMUSG00000103001.2,0,0,0,0,0,0
ENSMUSG00000104397.2,0,0,0,0,0,0
ENSMUSG00000102839.2,0,0,0,0,0,0
ENSMUSG00000101206.2,0,0,0,0,0,0
ENSMUSG00000101462.3,0,0,0,0,0,0
ENSMUSG00000102336.3,0,0,0,0,0,0
ENSMUSG00000092852.3,0,0,0,0,0,0
ENSMUSG00000042111.10,0,0,0,0,0,0
ENSMUSG00000101711.2,0,0,0,0,0,0
ENSMUSG00000026127.14,0,0,0,0,0,0
ENSMUSG00000026126.16,0,0,0,0,0,0
ENSMUSG00000100280.4,0,0,0,0,0,0
ENSMUSG00000101223.8,0,0,0,0,0,0
ENSMUSG00000026125.10,0,0,0,0,0,0
ENSMUSG00000101116.2,0,0,0,0,0,0
ENSMUSG00000026124.5,0,0,0,0,0,0
ENSMUSG00000101803.2,0,0,0,0,0,0
ENSMUSG00000037529.14,0,0,0,0,0,0
ENSMUSG00000045815.5,0,0,0,0,0,0
ENSMUSG00000045174.11,0,0,0,0,0,1
ENSMUSG00000100524.2,0,0,0,0,0,0
ENSMUSG00000102499.2,0,0,0,0,0,0
ENSMUSG00000103521.2,0,0,0,0,0,0
ENSMUSG00000104098.2,0,0,0,0,0,0
ENSMUSG00000037509.22,23,15,26,16,13,29
ENSMUSG00000102537.2,0,0,0,0,0,0
ENSMUSG00000102612.2,0,0,0,0,0,0
ENSMUSG00000118272.2,0,0,0,0,0,0
ENSMUSG00000104002.3,0,0,0,0,0,0
ENSMUSG00000037503.13,537,493,595,570,706,492
ENSMUSG00000104358.2,0,0,0,0,0,0
ENSMUSG00000026123.12,0,0,0,0,0,0
ENSMUSG00000103716.2,0,0,0,0,0,0
ENSMUSG00000103548.2,31,32,37,38,43,40
ENSMUSG00000103760.2,0,0,1,0,6,2
ENSMUSG00000103997.2,0,0,0,0,0,0
ENSMUSG00000077231.3,0,0,0,0,0,0
ENSMUSG00000104417.2,0,0,0,0,0,0
ENSMUSG00000064601.3,0,0,0,0,0,0
ENSMUSG00000101714.2,0,0,0,0,0,0
ENSMUSG00000102531.2,0,0,0,0,0,0
ENSMUSG00000103096.2,0,0,0,0,0,0
ENSMUSG00000102279.2,0,0,0,0,0,0
ENSMUSG00000103708.3,0,0,0,0,0,0
ENSMUSG00000104201.2,0,0,0,0,0,0
ENSMUSG00000102434.2,0,0,0,0,0,0
ENSMUSG00000045216.8,576,532,691,499,583,584
ENSMUSG00000104523.2,0,0,0,0,0,0
ENSMUSG00000102202.3,0,0,0,0,0,0
ENSMUSG00000037470.15,1301,1140,1399,1415,1359,1029
ENSMUSG00000098752.3,0,0,0,0,0,0
ENSMUSG00000047180.9,0,0,0,0,0,0
ENSMUSG00000037447.17,13,3,9,11,8,10
ENSMUSG00000102762.2,0,0,0,0,0,0
ENSMUSG00000010453.13,607,530,686,588,586,508
ENSMUSG00000098680.3,0,0,0,0,0,0
ENSMUSG00000037432.16,0,0,0,0,0,0
ENSMUSG00000001143.14,372,357,469,380,431,403
ENSMUSG00000037408.11,86,72,88,73,85,73
ENSMUSG00000104316.2,0,0,0,0,0,0
ENSMUSG00002075980.1,0,0,0,0,0,0
ENSMUSG00000001138.14,194,175,219,182,224,265
ENSMUSG00000102845.2,0,0,0,0,0,0
ENSMUSG00000067653.13,0,0,0,0,0,0
ENSMUSG00000109510.2,0,0,0,0,0,0
ENSMUSG00000079610.10,1,3,5,4,6,5
ENSMUSG00000026121.14,25,27,44,27,27,30
ENSMUSG00000087589.4,0,0,0,0,0,0
ENSMUSG00000046337.18,0,0,0,0,0,0
